foe: rooooa
vast:  huge		
prank:  trick		
eyelid:  protects your eye			
drowsy:  sleepy	
purchase:  buy	
reply:  answer	
absent:  missing	 
slumber:  sleep	
ill:  sick
wild:  untamed
loyal:  faithful
feeble:  weak	
mammoth:  large
overcast:  cloudy
waterfall:  when water drops over a cliff
bothersome:  annoying
task:  job
stalk:  stem	
banner:  flag
furious:  angry
flexible:  bends easily	
lunchtime:  middle meal of the day
applesauce:  made when cooking apples
springboard:  flexible board to jump from
dim:  not much light			
lurk:  wait
adult:  grownup	
sturdy:  strong	
shallow:  not much water
pleasure:  a happy feeling
hairbrush:  what you use to brush hair	
turtleneck:  a long neck
scorekeeper:  someone who keeps score	
kindergarten:  before 1st grade
grandchildren:  children of your children		
fur:  covering of most animals
bury:  to cover up	
berry:  a fruit		
bright:  light	
rainbow:  a band of colors
gracious:  polite
spaceship:  what an astronaut rides in	
drum:  something you hit to make sounds
fir:  a kind of evergreen tree		
deep:  many feet of water		
slosh:  splash
assist:  help
catfish:  a fish with whiskers	
birdbath:  bath for birds
crosswalk:  where you should cross street
ant:  an insect	
pain:  what you feel when something bad happens	
orbit:  circle
meadow:  field
beehive:  where bees make honey
keyboard:  part of a piano that you play	
principle:  a rule
coast:  land along the sea 
record:  to write down/something important  	
bus:  what some kids ride to school 
peak:  top of a mountain		
rigid:  stiff
shiver:  shudder
sandbox:  where kids play with sand	
hillside:  steep, sloping land
principal:  the head of a school		
glee:  joy
cygnet:  a young swan	
lab:  where scientists do their research
neat:  tidy	
break:  shatter
annual:  yearly
rowboat:  small boat  moved by rowing	
homework:  assignment done at home	
mysteries:  things that are secret or hard to explain	
mitt:  what baseball players catch with
lead:  to be at the beginning/a type of metal	
yearn:  to really long for something	
echoes:  repeated sounds
bike:  something you pedal to make its wheels move
rude:  not polite
stake:  a stick that you hammer into ground	
cellar:  at the bottom of the house	
council:  a group of people making plans		
railroad:  what trains travel on		
freighter:  a ship that carries cargo 
fawn:  a baby deer
zoo:  a place where animals are kept	
peek:  to look	
attic:  at the top of the house
repair:  fix		
counsel:  to give advice
sketches:  quick drawings
wind:  air that moves/to turn 
creek:  a smaller, moving body of water
halves:  two equal parts	
plea:  to beg for something
sub:  something that travels under water
lend:  to give something			
pause:  take a break	
infant:  baby	
through:  from here to there	
chipmunk:  a small animal resembling a squirrel
host:  one who gives the party
pizza:  a kind of pie with cheese and tomatoes on a crust
ballet:  a form of dance	
joey:  a baby kangaroo
auto:  a form of transportation	
kit:  a baby fox 	
paws:  feet		
steak:  meat you eat
frayed:  worn
moose:  a large animal with antlers	
shriek:  a loud sound	
calf:  a baby cow, elephant, or whale	
cub:  a young bear, lion, or tiger
wail:  cry	
whale:  a large animal living in the sea
borrow:  you get something		
gosling:  a baby goose	
bungalow:  a small, one story house	
loft:  a room just under the roof of a building
limb:  a branch of a tree	
bravo:  what an audience yells when they like the performance
garage:  a place to park cars
oxen:  large farm animals in the cattle family	
patio:  a paved area near a house	
noodle:  made of flour, water, and eggs		
kid:  a young goat		
aunt:  female relative	
threw:  past tense of throw
voyage:  trip	
exam:  a kind of test	
math:  the study of numbers, shapes, and measurements 
helm:  the wheel used for steering the ship
dove:  bird/past tense of dive  
geese:  large birds that make honking sound
sloppy:  messy	
feet:  at  he end of our legs 
plaza:  an open space in a city or town
dinghy:  a small boat
fern:  a kind of plant	
piglet:  a baby pig
boss:  the person in charge of a job    
foal:  a young horse or donkey
live:  living/to dwell
sheep:  animals whose fur is used for wool
vacant:  empty
